id;trx_amount;trx_method;trx_by;trx_date
1;31692;Pants Maryland;calculating Intranet Ergonomic Concrete Soap;2019-11-10T15:20:51
2;99005;Concrete Bedfordshire;portal calculating Metal;2019-11-10T14:26:28
3;35949;discrete redundant;Synergistic Personal Loan Account Sleek;2019-11-11T07:19:50
4;50151;digital deposit;extend Unbranded Fresh Pants Tools;2019-11-10T17:33:44
5;9398;North Dakota Garden;Towels Specialist;2019-11-10T11:19:15
6;59083;Computers Small Fresh Gloves back-end;interface;2019-11-10T11:35:11
7;76999;lavender;Club backing up;2019-11-11T02:47:23
8;53135;Peru deposit;Frozen Analyst card;2019-11-11T06:28:09
9;79518;global mindshare;Ameliorated;2019-11-11T03:01:51
10;96264;navigating;Som Rustic Frozen Keyboard ROI;2019-11-11T01:42:00
