id;branch_name;branch_address;branch_city;branch_phone;registered_by;registered_date;approved_by;approved_date;active
1;Squares mint green e-business;Ghana back-end National;Direct;27213;withdrawal;2019-11-11T07:26:33;cutting-edge ability Hat;2019-11-10T18:38:13;false
2;magenta Concrete;User-centric Gloves;Mauritania;70301;robust Engineer;2019-11-10T08:21:23;Quality-focused;2019-11-10T19:31:16;true
3;Plastic;Computers Personal Loan Account Berkshire;Home;34507;deposit Canadian Dollar Lebanon;2019-11-10T20:42:29;Dominican Republic Credit Card Account Handmade;2019-11-10T22:35:00;false
4;transmitter;Point Orchestrator;Solomon Islands Licensed;83530;installation;2019-11-11T02:58:42;Refined Rubber Gloves Algerian Dinar Clothing;2019-11-10T19:09:53;true
5;turn-key;Sausages;disintermediate Cambridgeshire hacking;67569;bandwidth azure;2019-11-10T18:27:37;Fiji Dollar Profound Bacon;2019-11-10T07:52:59;true
6;Equatorial Guinea Vision-oriented;Agent;Human deposit;33902;cross-media;2019-11-10T14:01:56;Internal AI optical;2019-11-10T16:02:47;true
7;Marketing;Dynamic Home Loan Account Tools;Branding;97366;clear-thinking;2019-11-11T00:07:34;Buckinghamshire Ports;2019-11-10T07:35:17;false
8;driver;Bedfordshire;navigate;64963;calculating withdrawal Nevada;2019-11-11T05:12:24;turn-key dedicated;2019-11-11T01:35:57;true
9;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;23018;Bedfordshire Alaska calculate;2019-11-11T06:24:30;Representative;2019-11-10T20:10:35;true
10;Human;back up Factors;architectures;96665;Strategist SDD;2019-11-11T00:23:17;reinvent;2019-11-10T11:01:40;false
