id;item_desc;qty;net_price;sell_price;tax;active
1;Web;94425;2651;86719;58577;true
2;multi-byte Jamaican Dollar North Carolina;12850;45825;81120;54561;true
3;Investment Account parsing invoice;20668;19579;27396;6936;false
4;utilize;3896;9444;61825;68300;false
5;withdrawal;38539;84487;68161;2327;false
6;directional Avon Solomon Islands Dollar;34833;62894;93664;87747;false
7;schemas Specialist China;42347;75061;56852;80683;true
8;interface Cotton Robust;58054;34080;86711;93075;true
9;Managed Dobra application;23823;10312;37772;90255;true
10;Buckinghamshire monetize;29763;89552;9998;38920;false
