id;company_name;registered_by;registered_date;approved_by;approved_date;active
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2019-11-11T06:57:39;false
2;transmitter Implementation Electronics;Soap methodology Albania;Home Namibia;Steel zero administration;2019-11-10T22:39:44;false
3;Licensed Savings Account;Cambridgeshire Mississippi;HDD;Table Small Frozen Sausages Planner;2019-11-10T12:03:13;false
4;Music;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;2019-11-10T15:33:16;true
5;convergence;Mayotte;Industrial;connect Markets Chief;2019-11-10T17:06:19;true
6;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account;Plastic;2019-11-10T12:12:08;false
7;Industrial;index orange;Jewelery;monitor;2019-11-10T13:57:32;true
8;Checking Account Identity deposit;IB Investment Account archive;envisioneer;moratorium pixel withdrawal;2019-11-10T10:09:43;true
9;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;2019-11-10T16:10:52;false
10;Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;2019-11-10T16:15:12;false
